accession	description
"GCA_017481265.1"	"ASM1748126v1 assembly for Clostridia bacterium"
"GCA_017481285.1"	"ASM1748128v1 assembly for Agathobacter sp."
"GCA_017481305.1"	"ASM1748130v1 assembly for Bacteroides sp."
"GCA_017481325.1"	"ASM1748132v1 assembly for Oscillospiraceae bacterium"
"GCA_017481365.1"	"ASM1748136v1 assembly for Butyricicoccus sp."
"GCA_017481385.1"	"ASM1748138v1 assembly for Bacteroidales bacterium"
"GCA_017481395.1"	"ASM1748139v1 assembly for Ruminococcus sp."
"GCA_017481485.1"	"ASM1748148v1 assembly for Oscillospiraceae bacterium"
"GCA_017481495.1"	"ASM1748149v1 assembly for Clostridia bacterium"
"GCA_017482395.1"	"ASM1748239v1 assembly for Bacteroidales bacterium"
"GCA_017482415.1"	"ASM1748241v1 assembly for Clostridia bacterium"
"GCA_017482445.1"	"ASM1748244v1 assembly for Clostridia bacterium"
"GCA_017482645.1"	"ASM1748264v1 assembly for Clostridia bacterium"
"GCA_017482685.1"	"ASM1748268v1 assembly for bacterium"
"GCA_017482695.1"	"ASM1748269v1 assembly for Flavobacteriales bacterium"
"GCA_017482785.1"	"ASM1748278v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017482815.1"	"ASM1748281v1 assembly for Rikenellaceae bacterium"
"GCA_017482985.1"	"ASM1748298v1 assembly for Clostridia bacterium"
"GCA_017482995.1"	"ASM1748299v1 assembly for Clostridia bacterium"
"GCA_017483165.1"	"ASM1748316v1 assembly for Spirochaetaceae bacterium"
"GCA_017483185.1"	"ASM1748318v1 assembly for Prevotella sp."
"GCA_017483195.1"	"ASM1748319v1 assembly for Clostridia bacterium"
"GCA_017483285.1"	"ASM1748328v1 assembly for Clostridia bacterium"
"GCA_017501985.1"	"ASM1750198v1 assembly for Clostridia bacterium"
"GCA_017502005.1"	"ASM1750200v1 assembly for Clostridia bacterium"
"GCA_017502025.1"	"ASM1750202v1 assembly for Alistipes sp."
"GCA_017502035.1"	"ASM1750203v1 assembly for Anaerotignum sp."
"GCA_017502095.1"	"ASM1750209v1 assembly for Clostridia bacterium"
"GCA_017502125.1"	"ASM1750212v1 assembly for Bacteroidales bacterium"
"GCA_017502165.1"	"ASM1750216v1 assembly for Clostridia bacterium"
"GCA_017502185.1"	"ASM1750218v1 assembly for Mycoplasmataceae bacterium"
"GCA_017502225.1"	"ASM1750222v1 assembly for Paludibacteraceae bacterium"
"GCA_017502345.1"	"ASM1750234v1 assembly for Kiritimatiellia bacterium"
"GCA_017520015.1"	"ASM1752001v1 assembly for Clostridia bacterium"
"GCA_017520425.1"	"ASM1752042v1 assembly for Lachnospiraceae bacterium"
"GCA_017520505.1"	"ASM1752050v1 assembly for Clostridia bacterium"
"GCA_017520515.1"	"ASM1752051v1 assembly for Paludibacteraceae bacterium"
"GCA_017520545.1"	"ASM1752054v1 assembly for Alistipes sp."
"GCA_017520605.1"	"ASM1752060v1 assembly for Oscillospiraceae bacterium"
"GCA_017520625.1"	"ASM1752062v1 assembly for Alistipes sp."
"GCA_017520635.1"	"ASM1752063v1 assembly for Clostridia bacterium"
"GCA_017520665.1"	"ASM1752066v1 assembly for Mycoplasmataceae bacterium"
"GCA_017520675.1"	"ASM1752067v1 assembly for Alphaproteobacteria bacterium"
"GCA_017520705.1"	"ASM1752070v1 assembly for Clostridia bacterium"
"GCA_017520715.1"	"ASM1752071v1 assembly for Muribaculaceae bacterium"
"GCA_017521705.1"	"ASM1752170v1 assembly for Lentisphaeria bacterium"
"GCA_017521725.1"	"ASM1752172v1 assembly for Bacteroidales bacterium"
"GCA_017521775.1"	"ASM1752177v1 assembly for Clostridia bacterium"
"GCA_017521805.1"	"ASM1752180v1 assembly for Ruminococcus sp."
"GCA_017521825.1"	"ASM1752182v1 assembly for Oscillospiraceae bacterium"
"GCA_017521835.1"	"ASM1752183v1 assembly for Clostridia bacterium"
"GCA_017521865.1"	"ASM1752186v1 assembly for Clostridia bacterium"
"GCA_017521905.1"	"ASM1752190v1 assembly for Bacteroidales bacterium"
"GCA_017521925.1"	"ASM1752192v1 assembly for Clostridia bacterium"
"GCA_017522105.1"	"ASM1752210v1 assembly for Bacteroidales bacterium"
"GCA_017522345.1"	"ASM1752234v1 assembly for Clostridia bacterium"
"GCA_017522445.1"	"ASM1752244v1 assembly for Alphaproteobacteria bacterium"
"GCA_017522505.1"	"ASM1752250v1 assembly for Ruminococcus sp."
"GCA_017522515.1"	"ASM1752251v1 assembly for Clostridia bacterium"
"GCA_017522525.1"	"ASM1752252v1 assembly for Bacteroidaceae bacterium"
"GCA_017522615.1"	"ASM1752261v1 assembly for Bacilli bacterium"
"GCA_017522725.1"	"ASM1752272v1 assembly for Kiritimatiellia bacterium"
"GCA_017522745.1"	"ASM1752274v1 assembly for Mailhella sp."
"GCA_017522765.1"	"ASM1752276v1 assembly for Clostridia bacterium"
"GCA_017522785.1"	"ASM1752278v1 assembly for Bacteroidaceae bacterium"
"GCA_017522795.1"	"ASM1752279v1 assembly for Clostridia bacterium"
"GCA_017523145.1"	"ASM1752314v1 assembly for Mycoplasmataceae bacterium"
"GCA_017523185.1"	"ASM1752318v1 assembly for Lachnospiraceae bacterium"
"GCA_017523205.1"	"ASM1752320v1 assembly for Spirochaetaceae bacterium"
"GCA_017523235.1"	"ASM1752323v1 assembly for Fibrobacter sp."
"GCA_017523245.1"	"ASM1752324v1 assembly for Bacillota bacterium"
"GCA_017523285.1"	"ASM1752328v1 assembly for Ruminococcus sp."
"GCA_017523305.1"	"ASM1752330v1 assembly for Clostridia bacterium"
"GCA_017523325.1"	"ASM1752332v1 assembly for Anaerotignum sp."
"GCA_017523335.1"	"ASM1752333v1 assembly for Treponema sp."
"GCA_017523355.1"	"ASM1752335v1 assembly for Clostridiales bacterium"
"GCA_017523365.1"	"ASM1752336v1 assembly for Bacteroidales bacterium"
"GCA_017523465.1"	"ASM1752346v1 assembly for Bacillota bacterium"
"GCA_017530145.1"	"ASM1753014v1 assembly for Bacteroidales bacterium"
"GCA_017530205.1"	"ASM1753020v1 assembly for Clostridia bacterium"
"GCA_017530215.1"	"ASM1753021v1 assembly for Fibrobacter sp."
"GCA_017530245.1"	"ASM1753024v1 assembly for Lachnospiraceae bacterium"
"GCA_017540705.1"	"ASM1754070v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017540745.1"	"ASM1754074v1 assembly for Bacteroidales bacterium"
"GCA_017540805.1"	"ASM1754080v1 assembly for Prevotella sp."
"GCA_017540865.1"	"ASM1754086v1 assembly for Prevotella sp."
"GCA_017541025.1"	"ASM1754102v1 assembly for Bacteroidaceae bacterium"
"GCA_017541035.1"	"ASM1754103v1 assembly for Eubacterium sp."
"GCA_017541065.1"	"ASM1754106v1 assembly for Paludibacteraceae bacterium"
"GCA_017541085.1"	"ASM1754108v1 assembly for Prevotella sp."
"GCA_017541105.1"	"ASM1754110v1 assembly for Clostridia bacterium"
"GCA_017541115.1"	"ASM1754111v1 assembly for Lachnospiraceae bacterium"
"GCA_017541145.1"	"ASM1754114v1 assembly for Bacteroidales bacterium"
"GCA_017541245.1"	"ASM1754124v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017547045.1"	"ASM1754704v1 assembly for Bacteroidaceae bacterium"
"GCA_017547065.1"	"ASM1754706v1 assembly for Tidjanibacter sp."
"GCA_017547095.1"	"ASM1754709v1 assembly for Lachnospiraceae bacterium"
"GCA_017547125.1"	"ASM1754712v1 assembly for Bacillota bacterium"
"GCA_017548385.1"	"ASM1754838v1 assembly for Prevotella sp."
"GCA_017548425.1"	"ASM1754842v1 assembly for Victivallales bacterium"
"GCA_017548445.1"	"ASM1754844v1 assembly for Bacteroidales bacterium"
"GCA_017548505.1"	"ASM1754850v1 assembly for Bacteroidales bacterium"
"GCA_017548565.1"	"ASM1754856v1 assembly for Treponema sp."
"GCA_017548605.1"	"ASM1754860v1 assembly for Prevotella sp."
"GCA_017548645.1"	"ASM1754864v1 assembly for Prevotella sp."
"GCA_017548665.1"	"ASM1754866v1 assembly for Bacteroidales bacterium"
"GCA_017548725.1"	"ASM1754872v1 assembly for Bacteroidales bacterium"
"GCA_017548825.1"	"ASM1754882v1 assembly for Oscillospiraceae bacterium"
"GCA_017548865.1"	"ASM1754886v1 assembly for Bacteroidales bacterium"
"GCA_017549985.1"	"ASM1754998v1 assembly for Bacteroidaceae bacterium"
"GCA_017550005.1"	"ASM1755000v1 assembly for Ruminiclostridium sp."
"GCA_017550025.1"	"ASM1755002v1 assembly for Bacteroidales bacterium"
"GCA_017550035.1"	"ASM1755003v1 assembly for Clostridia bacterium"
"GCA_017550045.1"	"ASM1755004v1 assembly for Oscillospiraceae bacterium"
"GCA_017550565.1"	"ASM1755056v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017550575.1"	"ASM1755057v1 assembly for Oscillospiraceae bacterium"
"GCA_017550605.1"	"ASM1755060v1 assembly for Thermoguttaceae bacterium"
"GCA_017550625.1"	"ASM1755062v1 assembly for Clostridia bacterium"
"GCA_017550645.1"	"ASM1755064v1 assembly for Oscillospiraceae bacterium"
"GCA_017550845.1"	"ASM1755084v1 assembly for Lachnospiraceae bacterium"
"GCA_017550865.1"	"ASM1755086v1 assembly for Clostridia bacterium"
"GCA_017550885.1"	"ASM1755088v1 assembly for Clostridia bacterium"
"GCA_017550925.1"	"ASM1755092v1 assembly for Lachnospiraceae bacterium"
"GCA_017550945.1"	"ASM1755094v1 assembly for Desulfovibrio sp."
"GCA_017550965.1"	"ASM1755096v1 assembly for Thermoguttaceae bacterium"
"GCA_017550985.1"	"ASM1755098v1 assembly for Bacteroidales bacterium"
"GCA_017551005.1"	"ASM1755100v1 assembly for Prevotella sp."
"GCA_017551025.1"	"ASM1755102v1 assembly for Paludibacteraceae bacterium"
"GCA_017551045.1"	"ASM1755104v1 assembly for Clostridia bacterium"
"GCA_017551055.1"	"ASM1755105v1 assembly for Bacteroidales bacterium"
"GCA_017551085.1"	"ASM1755108v1 assembly for Desulfovibrio sp."
"GCA_017551095.1"	"ASM1755109v1 assembly for Clostridia bacterium"
"GCA_017551125.1"	"ASM1755112v1 assembly for Clostridia bacterium"
"GCA_017551135.1"	"ASM1755113v1 assembly for Bacteroidales bacterium"
"GCA_017618315.1"	"ASM1761831v1 assembly for Spirochaetales bacterium"
"GCA_017618335.1"	"ASM1761833v1 assembly for Verrucomicrobiota bacterium"
"GCA_017618495.1"	"ASM1761849v1 assembly for Bacilli bacterium"
"GCA_017618515.1"	"ASM1761851v1 assembly for Bacteroidaceae bacterium"
"GCA_017618535.1"	"ASM1761853v1 assembly for Clostridia bacterium"
"GCA_017618545.1"	"ASM1761854v1 assembly for Bacteroidales bacterium"
"GCA_017618575.1"	"ASM1761857v1 assembly for Bacteroidales bacterium"
"GCA_017618595.1"	"ASM1761859v1 assembly for Alphaproteobacteria bacterium"
"GCA_017618615.1"	"ASM1761861v1 assembly for Clostridiales bacterium"
"GCA_017618625.1"	"ASM1761862v1 assembly for Bacteroidales bacterium"
"GCA_017618695.1"	"ASM1761869v1 assembly for Bacteroidales bacterium"
"GCA_017618715.1"	"ASM1761871v1 assembly for Bacteroidales bacterium"
"GCA_017618795.1"	"ASM1761879v1 assembly for Clostridia bacterium"
"GCA_017621205.1"	"ASM1762120v1 assembly for Lachnospira sp."
"GCA_017621225.1"	"ASM1762122v1 assembly for Muribaculaceae bacterium"
"GCA_017621275.1"	"ASM1762127v1 assembly for Bacteroidaceae bacterium"
"GCA_017621295.1"	"ASM1762129v1 assembly for Clostridia bacterium"
"GCA_017621315.1"	"ASM1762131v1 assembly for Methanocorpusculaceae archaeon"
"GCA_017621375.1"	"ASM1762137v1 assembly for Paludibacteraceae bacterium"
"GCA_017621455.1"	"ASM1762145v1 assembly for Alistipes sp."
"GCA_017621475.1"	"ASM1762147v1 assembly for Clostridia bacterium"
"GCA_017621495.1"	"ASM1762149v1 assembly for Clostridia bacterium"
"GCA_017621515.1"	"ASM1762151v1 assembly for Bacteroidaceae bacterium"
"GCA_017621525.1"	"ASM1762152v1 assembly for Clostridia bacterium"
"GCA_017621695.1"	"ASM1762169v1 assembly for Clostridia bacterium"
"GCA_017621705.1"	"ASM1762170v1 assembly for Clostridia bacterium"
"GCA_017621735.1"	"ASM1762173v1 assembly for Clostridia bacterium"
"GCA_017621755.1"	"ASM1762175v1 assembly for Clostridia bacterium"
"GCA_017621775.1"	"ASM1762177v1 assembly for Clostridia bacterium"
"GCA_017621795.1"	"ASM1762179v1 assembly for Oscillospiraceae bacterium"
"GCA_017621815.1"	"ASM1762181v1 assembly for Lachnospiraceae bacterium"
"GCA_017621845.1"	"ASM1762184v1 assembly for Muribaculaceae bacterium"
"GCA_017621875.1"	"ASM1762187v1 assembly for Clostridia bacterium"
"GCA_017621885.1"	"ASM1762188v1 assembly for Clostridia bacterium"
"GCA_017621895.1"	"ASM1762189v1 assembly for Prevotella sp."
"GCA_017621905.1"	"ASM1762190v1 assembly for Roseburia sp."
"GCA_017622015.1"	"ASM1762201v1 assembly for Campylobacter sp."
"GCA_017622075.1"	"ASM1762207v1 assembly for Clostridia bacterium"
"GCA_017622085.1"	"ASM1762208v1 assembly for Clostridia bacterium"
"GCA_017622155.1"	"ASM1762215v1 assembly for Peptococcaceae bacterium"
"GCA_017622185.1"	"ASM1762218v1 assembly for Paludibacteraceae bacterium"
"GCA_017622215.1"	"ASM1762221v1 assembly for Clostridia bacterium"
"GCA_017622255.1"	"ASM1762225v1 assembly for Methanocorpusculum sp."
"GCA_017622295.1"	"ASM1762229v1 assembly for Oscillospiraceae bacterium"
"GCA_017622375.1"	"ASM1762237v1 assembly for Clostridia bacterium"
"GCA_017622395.1"	"ASM1762239v1 assembly for Clostridia bacterium"
"GCA_017622415.1"	"ASM1762241v1 assembly for Clostridia bacterium"
"GCA_017628555.1"	"ASM1762855v1 assembly for Bacteroidaceae bacterium"
"GCA_017628565.1"	"ASM1762856v1 assembly for Spirochaetaceae bacterium"
"GCA_017628595.1"	"ASM1762859v1 assembly for Alistipes sp."
"GCA_017628605.1"	"ASM1762860v1 assembly for Lentisphaeria bacterium"
"GCA_017628635.1"	"ASM1762863v1 assembly for Alistipes sp."
"GCA_017628645.1"	"ASM1762864v1 assembly for Lentisphaeria bacterium"
"GCA_017628675.1"	"ASM1762867v1 assembly for Tidjanibacter sp."
"GCA_017628695.1"	"ASM1762869v1 assembly for Alphaproteobacteria bacterium"
"GCA_017628715.1"	"ASM1762871v1 assembly for Bacteroidales bacterium"
"GCA_017628735.1"	"ASM1762873v1 assembly for Alistipes sp."
"GCA_017628755.1"	"ASM1762875v1 assembly for Clostridia bacterium"
"GCA_017628775.1"	"ASM1762877v1 assembly for Bacteroidaceae bacterium"
"GCA_017628845.1"	"ASM1762884v1 assembly for Bacteroidaceae bacterium"
"GCA_017628875.1"	"ASM1762887v1 assembly for Clostridia bacterium"
"GCA_017628895.1"	"ASM1762889v1 assembly for Rikenellaceae bacterium"
"GCA_017628915.1"	"ASM1762891v1 assembly for Clostridia bacterium"
"GCA_017628995.1"	"ASM1762899v1 assembly for Bacteroidales bacterium"
"GCA_017629015.1"	"ASM1762901v1 assembly for Clostridia bacterium"
"GCA_017629035.1"	"ASM1762903v1 assembly for Alistipes sp."
"GCA_017629055.1"	"ASM1762905v1 assembly for Bacteroidales bacterium"
"GCA_017629065.1"	"ASM1762906v1 assembly for Lentisphaeria bacterium"
"GCA_017629095.1"	"ASM1762909v1 assembly for Treponema sp."
"GCA_017631725.1"	"ASM1763172v1 assembly for Clostridia bacterium"
"GCA_017631745.1"	"ASM1763174v1 assembly for Clostridia bacterium"
"GCA_017631775.1"	"ASM1763177v1 assembly for Clostridia bacterium"
"GCA_017631795.1"	"ASM1763179v1 assembly for Clostridia bacterium"
"GCA_017631995.1"	"ASM1763199v1 assembly for Bacteroidales bacterium"
"GCA_017828865.1"	"ASM1782886v1 assembly for Oscillospiraceae bacterium"
"GCA_017828885.1"	"ASM1782888v1 assembly for Oscillospiraceae bacterium"
"GCA_017828895.1"	"ASM1782889v1 assembly for Oscillospiraceae bacterium"
"GCA_017828995.1"	"ASM1782899v1 assembly for Oscillospiraceae bacterium"
"GCA_017829005.1"	"ASM1782900v1 assembly for Oscillospiraceae bacterium"
"GCA_017829075.1"	"ASM1782907v1 assembly for Oscillospiraceae bacterium"
"GCA_017829185.1"	"ASM1782918v1 assembly for Oscillospiraceae bacterium"
"GCA_017829235.1"	"ASM1782923v1 assembly for Oscillospiraceae bacterium"
"GCA_017848035.1"	"ASM1784803v1 assembly for Oscillospiraceae bacterium"
"GCA_017848055.1"	"ASM1784805v1 assembly for Oscillospiraceae bacterium"
"GCA_017848095.1"	"ASM1784809v1 assembly for Oscillospiraceae bacterium"
"GCA_017848115.1"	"ASM1784811v1 assembly for Oscillospiraceae bacterium"
"GCA_017848155.1"	"ASM1784815v1 assembly for Oscillospiraceae bacterium"
"GCA_017848205.1"	"ASM1784820v1 assembly for Oscillospiraceae bacterium"
"GCA_017848295.1"	"ASM1784829v1 assembly for Kiritimatiellia bacterium"
"GCA_017935605.1"	"ASM1793560v1 assembly for Lachnospiraceae bacterium"
"GCA_017935625.1"	"ASM1793562v1 assembly for Rikenellaceae bacterium"
"GCA_017935675.1"	"ASM1793567v1 assembly for Clostridia bacterium"
"GCA_017935725.1"	"ASM1793572v1 assembly for Clostridia bacterium"
"GCA_017935745.1"	"ASM1793574v1 assembly for Treponema sp."
"GCA_017935785.1"	"ASM1793578v1 assembly for Bacteroidaceae bacterium"
"GCA_017935815.1"	"ASM1793581v1 assembly for Pseudomonas sp."
"GCA_017935825.1"	"ASM1793582v1 assembly for Clostridia bacterium"
"GCA_017935865.1"	"ASM1793586v1 assembly for Ruminococcus sp."
"GCA_017935905.1"	"ASM1793590v1 assembly for Clostridia bacterium"
"GCA_017935915.1"	"ASM1793591v1 assembly for Clostridia bacterium"
"GCA_017936005.1"	"ASM1793600v1 assembly for Tidjanibacter sp."
"GCA_017936045.1"	"ASM1793604v1 assembly for Clostridia bacterium"
"GCA_017936065.1"	"ASM1793606v1 assembly for Lentisphaeria bacterium"
"GCA_017936095.1"	"ASM1793609v1 assembly for Clostridia bacterium"
"GCA_017963825.1"	"ASM1796382v1 assembly for Bacteroidales bacterium"
"GCA_017963865.1"	"ASM1796386v1 assembly for Bacteroidales bacterium"
"GCA_017963875.1"	"ASM1796387v1 assembly for Victivallales bacterium"
"GCA_017963905.1"	"ASM1796390v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017963915.1"	"ASM1796391v1 assembly for Bacteroidales bacterium"
"GCA_017963925.1"	"ASM1796392v1 assembly for Bacteroidales bacterium"
"GCA_017963965.1"	"ASM1796396v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017963985.1"	"ASM1796398v1 assembly for Bacteroidales bacterium"
"GCA_017964005.1"	"ASM1796400v1 assembly for Clostridiales bacterium"
"GCA_017964025.1"	"ASM1796402v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017964045.1"	"ASM1796404v1 assembly for Paludibacteraceae bacterium"
"GCA_017964105.1"	"ASM1796410v1 assembly for Clostridia bacterium"
"GCA_017964245.1"	"ASM1796424v1 assembly for Lachnospiraceae bacterium"
"GCA_017964255.1"	"ASM1796425v1 assembly for Bacteroidales bacterium"
"GCA_017379045.1"	"ASM1737904v1 assembly for Mailhella sp."
"GCA_017379155.1"	"ASM1737915v1 assembly for Clostridia bacterium"
"GCA_017383015.1"	"ASM1738301v1 assembly for Aeriscardovia sp."
"GCA_017383055.1"	"ASM1738305v1 assembly for Burkholderiaceae bacterium"
"GCA_017383065.1"	"ASM1738306v1 assembly for Ruminococcus sp."
"GCA_017383095.1"	"ASM1738309v1 assembly for Clostridiales bacterium"
"GCA_017383115.1"	"ASM1738311v1 assembly for Clostridia bacterium"
"GCA_017383125.1"	"ASM1738312v1 assembly for Schwartzia sp. (in: firmicutes)"
"GCA_017383165.1"	"ASM1738316v1 assembly for Oscillospiraceae bacterium"
"GCA_017383245.1"	"ASM1738324v1 assembly for Ruminococcus sp."
"GCA_017391885.1"	"ASM1739188v1 assembly for Ruminococcus sp."
"GCA_017391915.1"	"ASM1739191v1 assembly for Treponema sp."
"GCA_017391965.1"	"ASM1739196v1 assembly for Lachnospiraceae bacterium"
"GCA_017392005.1"	"ASM1739200v1 assembly for Rikenellaceae bacterium"
"GCA_017392015.1"	"ASM1739201v1 assembly for Peptococcaceae bacterium"
"GCA_017392045.1"	"ASM1739204v1 assembly for Alphaproteobacteria bacterium"
"GCA_017392085.1"	"ASM1739208v1 assembly for Phascolarctobacterium sp."
"GCA_017392105.1"	"ASM1739210v1 assembly for Clostridia bacterium"
"GCA_017392165.1"	"ASM1739216v1 assembly for Lachnospiraceae bacterium"
"GCA_017392225.1"	"ASM1739222v1 assembly for Erysipelotrichales bacterium"
"GCA_017392465.1"	"ASM1739246v1 assembly for Bacillota bacterium"
"GCA_017393185.1"	"ASM1739318v1 assembly for Oscillospiraceae bacterium"
"GCA_017393225.1"	"ASM1739322v1 assembly for Treponema sp."
"GCA_017393245.1"	"ASM1739324v1 assembly for Bacteroidales bacterium"
"GCA_017393275.1"	"ASM1739327v1 assembly for Bacteroidales bacterium"
"GCA_017393405.1"	"ASM1739340v1 assembly for Oscillospiraceae bacterium"
"GCA_017393465.1"	"ASM1739346v1 assembly for Prevotella sp."
"GCA_017393485.1"	"ASM1739348v1 assembly for Bacteroidaceae bacterium"
"GCA_017393505.1"	"ASM1739350v1 assembly for Oscillospiraceae bacterium"
"GCA_017393715.1"	"ASM1739371v1 assembly for Prevotella sp."
"GCA_017412775.1"	"ASM1741277v1 assembly for Oscillospiraceae bacterium"
"GCA_017412805.1"	"ASM1741280v1 assembly for Bacteroidales bacterium"
"GCA_017412815.1"	"ASM1741281v1 assembly for Prevotella sp."
"GCA_017412825.1"	"ASM1741282v1 assembly for Clostridia bacterium"
"GCA_017412845.1"	"ASM1741284v1 assembly for Kiritimatiellia bacterium"
"GCA_017412855.1"	"ASM1741285v1 assembly for Bacteroidales bacterium"
"GCA_017412915.1"	"ASM1741291v1 assembly for Bacteroidales bacterium"
"GCA_017412925.1"	"ASM1741292v1 assembly for Selenomonadaceae bacterium"
"GCA_017413005.1"	"ASM1741300v1 assembly for Ruminobacter sp."
"GCA_017413025.1"	"ASM1741302v1 assembly for Acetobacter sp."
"GCA_017413105.1"	"ASM1741310v1 assembly for Butyrivibrio sp."
"GCA_017413135.1"	"ASM1741313v1 assembly for Bacteroidales bacterium"
"GCA_017413235.1"	"ASM1741323v1 assembly for Bacteroidales bacterium"
"GCA_017413245.1"	"ASM1741324v1 assembly for Treponema sp."
"GCA_017413255.1"	"ASM1741325v1 assembly for Aeriscardovia sp."
"GCA_017413305.1"	"ASM1741330v1 assembly for Elusimicrobiota bacterium"
"GCA_017413325.1"	"ASM1741332v1 assembly for Spirochaetales bacterium"
"GCA_017413335.1"	"ASM1741333v1 assembly for Spirochaetaceae bacterium"
"GCA_017413365.1"	"ASM1741336v1 assembly for Bacteroidales bacterium"
"GCA_017414155.1"	"ASM1741415v1 assembly for Clostridia bacterium"
"GCA_017414185.1"	"ASM1741418v1 assembly for Ruminococcus sp."
"GCA_017414205.1"	"ASM1741420v1 assembly for Lachnospiraceae bacterium"
"GCA_017414225.1"	"ASM1741422v1 assembly for Treponema sp."
"GCA_017414245.1"	"ASM1741424v1 assembly for Clostridia bacterium"
"GCA_017414265.1"	"ASM1741426v1 assembly for Clostridia bacterium"
"GCA_017414285.1"	"ASM1741428v1 assembly for Ruminococcus sp."
"GCA_017414525.1"	"ASM1741452v1 assembly for Clostridia bacterium"
"GCA_017420685.1"	"ASM1742068v1 assembly for Aeriscardovia sp."
"GCA_017420735.1"	"ASM1742073v1 assembly for Oscillospiraceae bacterium"
"GCA_017420755.1"	"ASM1742075v1 assembly for Clostridia bacterium"
"GCA_017420845.1"	"ASM1742084v1 assembly for Clostridia bacterium"
"GCA_017420875.1"	"ASM1742087v1 assembly for Bacteroidaceae bacterium"
"GCA_017420905.1"	"ASM1742090v1 assembly for Lachnospiraceae bacterium"
"GCA_017420935.1"	"ASM1742093v1 assembly for Clostridia bacterium"
"GCA_017420955.1"	"ASM1742095v1 assembly for Oscillospiraceae bacterium"
"GCA_017421005.1"	"ASM1742100v1 assembly for Oscillospiraceae bacterium"
"GCA_017421025.1"	"ASM1742102v1 assembly for Oscillospiraceae bacterium"
"GCA_017423665.1"	"ASM1742366v1 assembly for Bacteroidales bacterium"
"GCA_017423725.1"	"ASM1742372v1 assembly for Victivallales bacterium"
"GCA_017423825.1"	"ASM1742382v1 assembly for Clostridia bacterium"
"GCA_017423905.1"	"ASM1742390v1 assembly for Clostridia bacterium"
"GCA_017423935.1"	"ASM1742393v1 assembly for Bacteroidales bacterium"
"GCA_017424045.1"	"ASM1742404v1 assembly for Bacteroidaceae bacterium"
"GCA_017424125.1"	"ASM1742412v1 assembly for Clostridia bacterium"
"GCA_017424145.1"	"ASM1742414v1 assembly for Lachnospiraceae bacterium"
"GCA_017424155.1"	"ASM1742415v1 assembly for Clostridia bacterium"
"GCA_017424165.1"	"ASM1742416v1 assembly for Clostridia bacterium"
"GCA_017424205.1"	"ASM1742420v1 assembly for Prevotella sp."
"GCA_017424225.1"	"ASM1742422v1 assembly for Anaerotignum sp."
"GCA_017424235.1"	"ASM1742423v1 assembly for Lachnospiraceae bacterium"
"GCA_017424265.1"	"ASM1742426v1 assembly for Lachnospiraceae bacterium"
"GCA_017428785.1"	"ASM1742878v1 assembly for Bacteroidaceae bacterium"
"GCA_017428865.1"	"ASM1742886v1 assembly for Prevotella sp."
"GCA_017428885.1"	"ASM1742888v1 assembly for Lachnospiraceae bacterium"
"GCA_017428995.1"	"ASM1742899v1 assembly for Prevotella sp."
"GCA_017429025.1"	"ASM1742902v1 assembly for Clostridia bacterium"
"GCA_017429045.1"	"ASM1742904v1 assembly for Oscillospiraceae bacterium"
"GCA_017429065.1"	"ASM1742906v1 assembly for Bacteroidales bacterium"
"GCA_017429085.1"	"ASM1742908v1 assembly for Bacteroidales bacterium"
"GCA_017429105.1"	"ASM1742910v1 assembly for Oscillospiraceae bacterium"
"GCA_017429115.1"	"ASM1742911v1 assembly for Prevotella sp."
"GCA_017429185.1"	"ASM1742918v1 assembly for Bacteroidales bacterium"
"GCA_017429265.1"	"ASM1742926v1 assembly for Clostridia bacterium"
"GCA_017429365.1"	"ASM1742936v1 assembly for Bacteroidales bacterium"
"GCA_017429375.1"	"ASM1742937v1 assembly for Bacillota bacterium"
"GCA_017429405.1"	"ASM1742940v1 assembly for Prevotella sp."
"GCA_017429425.1"	"ASM1742942v1 assembly for Bacteroidales bacterium"
"GCA_017429445.1"	"ASM1742944v1 assembly for Lachnospiraceae bacterium"
"GCA_017429525.1"	"ASM1742952v1 assembly for Bacteroidaceae bacterium"
"GCA_017429545.1"	"ASM1742954v1 assembly for Lachnospiraceae bacterium"
"GCA_017429555.1"	"ASM1742955v1 assembly for Clostridia bacterium"
"GCA_017429585.1"	"ASM1742958v1 assembly for Acidaminococcaceae bacterium"
"GCA_017429605.1"	"ASM1742960v1 assembly for Clostridia bacterium"
"GCA_017429625.1"	"ASM1742962v1 assembly for Bacillota bacterium"
"GCA_017429745.1"	"ASM1742974v1 assembly for Oscillospiraceae bacterium"
"GCA_017429775.1"	"ASM1742977v1 assembly for Clostridia bacterium"
"GCA_017429805.1"	"ASM1742980v1 assembly for Clostridia bacterium"
"GCA_017429825.1"	"ASM1742982v1 assembly for Clostridia bacterium"
"GCA_017429905.1"	"ASM1742990v1 assembly for Spirochaetales bacterium"
"GCA_017429925.1"	"ASM1742992v1 assembly for bacterium"
